Company,Name,Title,Image Links
PwC US,Kathryn Kaminsky,Chief Commercial Officer,https://media.licdn.com/dms/image/v2/C5603AQH-fLSEAGDU8w/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1654726035803?e=2147483647&v=beta&t=S_tJHORmP_YY6ipewTMX8gS9hW2B1cJM12aXZG6sebw
PwC US,Michelle Horton,Principal,https://media.licdn.com/dms/image/v2/D4D03AQFcvZh2HgecQw/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1681781533195?e=2147483647&v=beta&t=YeZ2FJSb7KvSC5BKozr10KhnO5e5lh2c8duM3OgSL9w
PwC,Meghan Carlson,Brand Marketing Senior Manager,https://media.licdn.com/dms/image/v2/C4E03AQFMKpaIsomfxg/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1657654452913?e=1776297600&v=beta&t=9amyA8s4bCelzMeVET9h7aulUTLHvRVoo4XQkiaBQlA
PwC,Philip Galuban,"Social Media Manager, Communications & Corporate Affairs",https://media.licdn.com/dms/image/v2/D5603AQFQFooSQxNM2g/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1664396211680?e=1776297600&v=beta&t=p8EfwD7H87Me9ga46jXi1gUXyPINOtQDpBoVE5hGRoI
PwC,Jeanelle Johnson,"Partner, Advisory, DC OMP",https://media.licdn.com/dms/image/v2/D4E03AQHTed1Czm0syA/profile-displayphoto-shrink_800_800/B4EZUfX9WXHUAg-/0/1739988131379?e=1776297600&v=beta&t=cbMWKmClE2fx-49GO1YMlJ6tLSY3cOzUp0zgfZlwafI
PwC,Samantha Kleine,"Director, Tax, America in Motion Practice Director",https://media.licdn.com/dms/image/v2/D4E03AQHD8cWUp7u57w/profile-displayphoto-crop_800_800/B4EZgy8l1XHgAM-/0/1753201401845?e=1776297600&v=beta&t=1jjS1_1bVuR8UQwhm77NllBJIdTTSbKJ2mMOI-qdQRI
PwC,Tamil Sriram,"Principal, Advisory",https://media.licdn.com/dms/image/v2/D4D03AQG6NKlDtdzGyA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1714872900699?e=1776297600&v=beta&t=qQaHTdtOslBEgziR4xyGw0ub52L9mwjAjXRmYsqHVjQ
PwC,Anna Green,"Partner, Tax",https://media.licdn.com/dms/image/v2/C5603AQFYN5cHs3N70Q/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1543185101859?e=1776297600&v=beta&t=2Qvw4GI3g-4AMH_iTWl72Wgy8avYudHVQpIoKAspKJw
PwC,Hugh Le,"Principal, Advisory",https://media.licdn.com/dms/image/v2/C5603AQFJpXW_2_zDEw/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1659643966859?e=1776297600&v=beta&t=E4CPF4htvIkDCSGmp1h9AHBsnYNNj__db9eqZCPtaDQ
PwC,James Gargas,"Partner, Advisory, Investigations & Forensics",https://media.licdn.com/dms/image/v2/D4E03AQEcZ144yXZV9w/profile-displayphoto-crop_800_800/B4EZndUCvTKgAI-/0/1760354643379?e=1776297600&v=beta&t=KFxE33N9aykAHkIqd5ns6Nua56NUbObAGH0oYH4vRNA
PwC,George Prokop,"Principal, Advisory, Investigations & Forensics",https://media.licdn.com/dms/image/v2/C4E03AQEXjbvf7mgiwg/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1516245649334?e=1776297600&v=beta&t=MT6J3xhIANFNgqqGPNUhR-FkFcVqpsIPLLMeRM566_w
PwC US,Tonya Ugoretz,"Managing Director, Cyber and Risk Innovation Institute",https://media.licdn.com/dms/image/v2/D4E03AQEAcEqmtFeAeg/profile-displayphoto-crop_800_800/B4EZv70wKBHoAI-/0/1769456469066?e=1776297600&v=beta&t=oDk41-5Solibz4j8hL42THk20sAX-2ZED-zFqF3n8sU
PwC US,Vincent Parker,"Managing Director, Executive Communications",
Bank of America,,,
Bank of America,Claudio Irigoyen,Managing Director - Head of Global Economics ,https://media.licdn.com/dms/image/v2/C4D03AQGEWhlCzQApuw/profile-displayphoto-shrink_400_400/profile-displayphoto-shrink_400_400/0/1609297200876?e=1776297600&v=beta&t=lhFs3qhcXMv1TZcUsH93ZXSuTc9qXZtcqj0BBLBF6tA
Bank of America,Hari Gopalkrishnan,Chief Technology and Information Officer ,https://media.licdn.com/dms/image/v2/D4E03AQEaOTF9hqd90g/profile-displayphoto-scale_400_400/B4EZo8MeYSIIAg-/0/1761946495919?e=1776297600&v=beta&t=GiLf5MepP8rbGL-QpNNyxVk2bIiuRYSsmxU06Y1qL68
Bank Of America,Karen Fang,"Managing Director, Global Head Of Sustainable Finance, Bank Of America",https://media.licdn.com/dms/image/v2/C4E03AQHQQjZecZaHIw/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1660877235454?e=1776297600&v=beta&t=UlrXSqGKFNzyWO2Sn2KtjaJQ4PAIEsQta-0o_L5xExg
Bank Of America,Trevor Koenig,Global Public Policy Executive,https://media.licdn.com/dms/image/v2/D4E03AQEFChEsdhmklQ/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1729199515175?e=1776297600&v=beta&t=5aJ9vg6j_vEYY0Lx8he1a8fFGJ1hFkurRlVM5V9aBUg
Bank Of America,Robert Calamari,"Influencer, Measurement & Analytics Executive",https://media.licdn.com/dms/image/v2/C5603AQHk0RXalmt7Ew/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1517402796682?e=1776297600&v=beta&t=Pb-Zlw4LzOWXbpZ0qwa9p9FsS6aE0Lo0qeibF10uUjU
Verizon,,,
Verizon,Dan Schulman,CEO,https://ss7.vzw.com/is/image/VerizonWireless/Leadership%20&%20Board%20of%20Directors%20-%20Leadership%20-%20Franz%20Paasche%20-%2021_9%20(1)?resMode=sharp2&scl=1
Verizon,Franz Paasche,"EVP, Corporate Affairs",https://www.verizon.com/about/sites/default/files/2023-04/dan_schulman_bio_photo_300x375.jpg
Verizon,Stacy Sharpe,EVP & Chief Communications Officer,https://media.licdn.com/dms/image/v2/D5603AQGa3Gf31M1L4A/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1720797986689?e=1776297600&v=beta&t=Vv-WcNfrslcd0-ir3Avzic_UwWMzd6h3m3DuiM7E2mg
Verizon,Stephanie Agresti,"Associate Director, Strategic Partnerships & Executive Communications",https://media.licdn.com/dms/image/v2/C5603AQH7NCwuiTaNwA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1517365097352?e=1776297600&v=beta&t=iu7_piUnb4vxftGEwNyr9ezqT7RZl1A24BIas4Y0O6o
Verizon,Kathy Grillo,"SVP, Public Policy and Government Affairs",https://media.licdn.com/dms/image/v2/D4E03AQGADQ0H7wrG5A/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1721332986900?e=1776297600&v=beta&t=pBx6A2p-b19RkgM0eu_JNQKM2r4c5sKo0aHX--al2pw
Verizon,Grant Tomihara,No info found,
Hyundai/Genesis,,,
Hyundai,José Muñoz,CEO,https://www.hyundai.com/content/dam/hyundai/ww/en/images/newsroom/news-image/2024/11/1115-1/gallery/gallery-241115-02-1.jpg
Hyundai,Euisun Chung ,Executive Chair,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPLAnxScsZ821csuF65PmTiNodN-1jFGifLq-BLHO-u4lWs3q2UGyOAegPLlmTbiSa_brVISxrMoqGWwMsqOihXbJky3rjSS2t8ESSvQ&s=10
Hyundai Motor Group,Jae Hoon Chang,Vice Chair,https://mma.prnewswire.com/media/2440202/Hyundai_Motor_President_and_CEO_Jaehoon_Chang_Announced_as_New_Co_Chair_of_Hydroge.jpg?p=twitter
Hyundai Motor Company,Sung Kim,"President, Strategic Planning Division",https://ncafp.org/wp-content/uploads/2025/05/Leadership-Kim_400x400.jpg
Hyundai Capital,Chung Hyung Jin,President,https://about.hyundaicapital.com/resources/web/en/images/au/img_au_ceo01.jpg
Kia North America,Seung Kyu Yoon,President,https://media.licdn.com/dms/image/v2/D5603AQE9gYl_ve1pmA/profile-displayphoto-shrink_200_200/B56ZYdIT2aHQAY-/0/1744245440182?e=2147483647&v=beta&t=jwmp8tqbBk0MyW7IUGc2wYyg7u9977WoahudvqdXso8
Hyundai Motor Company,Randy Parker,"President, Hyundai Motor Americas Strategic Region",https://www.hyundainews.com/assets/images/hero-staff/51364-RandyParker14008.jpg
Hyundai/Genesis,Trevor Hale,"Vice President, Global Public Relations and Communications",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4vZV_yZ1inTXjqd28kpxGFcTNe1dtSE_Y3g&s
Hyundai Motor Group,Andy Kim,Advisor,No info found
Hyundai Motor Company,Sean Sihyeok Lee,"SVP, Global Head of Genesis",https://www.sema.org/sites/default/files/inline-images/SeanLee-Genesis-1410x790.jpg
Hyundai Motor Company,Jung Hwan Hou,"EVP, Media Relations Group",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4vZV_yZ1inTXjqd28kpxGFcTNe1dtSE_Y3g&s
Hyundai Motor Company,Yongseok Shin,"EVP, HMG Business Intelligence Institute",https://www.hyundai.com/content/dam/hyundai/ww/en/images/newsroom/news-image/2025/12/1218/gallery/gallery-1218-9.jpg
Hyundai Motor Company,Dong Jo Kim,"SVP, Strategic Policy Division, Global Policy Office",No info found
Hyundai Motor Company,Sean Lee,Global Head of Genesis,
Hyundai Motor Group,Guillaume Parvaix,Senior Manager,
PMI,,,
PMI,,,
,,,
,,,
Infosys,,,
Infosys Limited,Salil Parekh,CEO & Managing Director,https://www.infosys.com/content/dam/infosys-web/en/global-resource/photos/salil-parekh.jpg
Infosys,Sumit Virmani,Global Chief Marketing Officer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREeONzR7ppQaEEai_ix2uytIUPVglsILPZUg&s
