Company,Full Name,Title,Image links
FGS Global,Alexander Geiser,CEO,https://fgsglobal.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F137553%2F1024x1400%2F0132881115%2Falexander-geiser.jpg&w=1080&q=75
FGS Global,Ken Mehlman,Board Member,https://www.kkr.com/content/dam/kkr/bio/headshots/Ken%20Mehlman.jpeg
Franklin Templeton,Jenny Johnson,CEO,https://www.democracyinvestments.com/assets/team/portraits/jenny-johnson-26926d5e9630be65c727f9966c52fc2c9e33eeb79c2d5e2a6f225b1d314424b6.jpg
Gallup,Jon Clifton,CEO,https://media.licdn.com/dms/image/v2/D4E03AQGp2qftVfBNaw/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1720519288841?e=1776297600&v=beta&t=XrArdQa2Uc4IB809ZYqWPl6BXyyqC_nFvfQgFt3mSfk
GE Vernova,Scott Strazik,CEO,https://www.gevernova.com/sites/default/files/2024-03/01_strazik_scott.jpg
GIC,Eric Wilmes,"President, Americas",https://www.gic.com.sg/uploads/2024/05/Eric-Wilmes-e1716272059335.jpg
Goldman Sachs & Co.,John Waldron,President & COO,https://www.goldmansachs.com/images/migrated/about-us/people-and-leadership/leadership/executive-officers/images/john-waldron-1000x1000.png
GSK,Emma Walmsley,"Former CEO GSK, & Board Director, Microsoft",https://media.licdn.com/dms/image/v2/C4E03AQH8EeXL9R_LHQ/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1654757044193?e=2147483647&v=beta&t=nSDfaUfppFISJzBjlmUIlOtSxHdMVPYfECfFRDeu9bs
Heidrick & Struggles,Tom Monahan,Chief Executive Officer,https://www.heidrick.com/-/media/heidrickcom/images/consultants/m/monahan_thomas_-28480/monahan_tom_860x860.jpg?rev=557fcb1ad9264388a918039927b9ff16
Hilton,Christopher Nassetta,President & CEO,https://stories.hilton.com/uploads/2022/06/CNassetta_HR.jpeg
Honeywell,Vimal Kapur,Chairman and Chief Executive Officer,https://www.honeywell.com/content/dam/honeywellbt/en/images/content-images/leadership/hon-corp-kapur-vimal-bio-photo-1400x1400.jpg
HSBC,Georges Elhedery,Group CEO,https://www.hsbc.com/-/files/hsbc/who-we-are/leadership/main-image-high-res/250317-georges-elhedery-3890x5424.jpg?sc_lang=en-gb&hash=E89EF469C40890E56A9D00C3DCD2CFED?download=1
Hyundai,José Muñoz,CEO,https://www.hyundai.com/content/dam/hyundai/ww/en/images/newsroom/news-image/2024/11/1115-1/gallery/gallery-241115-02-1.jpg
I Squared Capital,Sadek Wahba,Chairman and Managing Partner,https://s3.amazonaws.com/cco-avatars/a5d6596f-50e7-4479-aec6-a496b140aba3.png
IBM,Gary Cohn,Vice Chairman,https://scaleglobal.co/wp-content/uploads/2022/11/gary-cohn.jpg
ICONIQ,Divesh Makan,Founding Partner,https://www.sfjazz.org/media/2hnpe10c/diveshmakan_cutout.jpg?width=1200&height=1200&v=1dc6d37443512b0
ICONIQ,Michael Anders,Founding Partner,https://images.squarespace-cdn.com/content/v1/586bd48d03596e5605450cee/1484942339385-NDJIXGMC54160SL18DIM/image-asset.jpeg
Indeed,Deko (Hisayuki) Idekoba,"CEO and President of Indeed; Representative Director, President & CEO of Recruit Holdings",https://recruit-holdings.com/fetch/img/fdbc3n76uu0x/7s4zsBjTJu8RpiWVIYWpm4/334114944974b7d29e87ce2836b6bcb2/press_hisayuki_idekoba.jpg?w=750&h=750&fl=progressive&q=50&fm=jpg&bg=rgb%3Af3f5fa
Indeed,Laura Ullrich,"Director of Economic Research, North America",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz0Wri-JfLq3mzDhqVIUGuvHCM7b95_ITIvA&s
Infosys Limited,Nandan M. Nilekani,Co-founder and Chairman of the Board,https://www.infosys.com/content/dam/infosys-web/en/global-resource/photos/nandan.jpg
Infosys Limited,Salil Parekh,CEO & Managing Director,https://www.infosys.com/content/dam/infosys-web/en/global-resource/photos/salil-parekh.jpg
JetBlue,Joanna Geraghty,CEO,https://concernusa.org/uploads/joanna-geraghty-headshot_square.webp
JLL (Jones Lang LaSalle),Christian Ulbrich,Global CEO & President,https://res.cloudinary.com/jll-global-broker-profile/image/upload/f_auto,q_auto/w_780/v1749052029/prod/eqsjot2t18cytmx4x3dw.jpg
John Hancock,Brooks Tingle,President & CEO,https://www.johnhancock.com/content/dam/onejohnhancock/images/about-us/leadership/Brooks_Tingle_leadership.510.510.jpg
KKR,Henry Kravis,Co-Founder & Co-Executive Chairman,https://www.kkr.com/content/dam/kkr/bio/headshots/Henry%20R.%20Kravis.jpg
KKR,Kareem Daniel,Executive Advisor,https://media.licdn.com/dms/image/v2/C5103AQGN19JUg0xgrw/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1517363397753?e=1776297600&v=beta&t=nvOWjzO0dw4pte0C9FJP0UraPm43s3tFMug5e3KggKk
